key, party, (ly.gov.tw), 親民黨, (npl), 中國國民黨, uid, 803, ad, 4, name, 周錫瑋, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00072&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 無黨籍, uid, 805, ad, 4, name, 邱創良, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00075&stage=4
key, party, (ly.gov.tw), 無黨籍, (npl), 民主進步黨, uid, 630, ad, 4, name, 施明德, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00077&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 中國國民黨, uid, 811, ad, 4, name, 秦慧珠, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00091&stage=4
key, party, (ly.gov.tw), 無黨籍, (npl), 民主聯盟, uid, 636, ad, 4, name, 徐成焜, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00095&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 民主聯盟, uid, 813, ad, 4, name, 徐慶元, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00097&stage=4
key, party, (ly.gov.tw), 民主進步黨, (npl), 新國家連線, uid, 639, ad, 4, name, 許添財, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00102&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 無黨籍, uid, 831, ad, 4, name, 陳振盛, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00131&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 中國國民黨, uid, 646, ad, 4, name, 陳朝容, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00136&stage=4
key, party, (ly.gov.tw), 無黨籍, (npl), 民主聯盟, uid, 835, ad, 4, name, 陳進丁, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00141&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 新黨, uid, 738, ad, 4, name, 馮定國, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00153&stage=4
key, gender, (ly.gov.tw), 男, (npl), 女, uid, 740, ad, 4, name, 黃秀孟, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00157&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 無黨籍, uid, 848, ad, 4, name, 黃義交, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00161&stage=4
key, party, (ly.gov.tw), 無黨籍, (npl), 全國民主非政黨聯盟, uid, 670, ad, 4, name, 葉憲修, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00173&stage=4
key, party, (ly.gov.tw), 無黨籍, (npl), 中國國民黨, uid, 674, ad, 4, name, 趙永清, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00178&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 中國國民黨, uid, 858, ad, 4, name, 鄭金玲, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00181&stage=4
key, party, (ly.gov.tw), 無黨籍, (npl), 全國民主非政黨聯盟, uid, 393, ad, 4, name, 蔡中涵, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00186&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 中國國民黨, uid, 862, ad, 4, name, 劉文雄, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00193&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 中國國民黨, uid, 292, ad, 4, name, 劉松藩, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00195&stage=4
key, party, (ly.gov.tw), 中國國民黨, (npl), 無黨籍, uid, 864, ad, 4, name, 劉銓忠, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00200&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 中國國民黨, uid, 873, ad, 4, name, 謝章捷, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00211&stage=4
key, party, (ly.gov.tw), 親民黨, (npl), 中國國民黨, uid, 876, ad, 4, name, 鍾紹和, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00216&stage=4
key, party, (ly.gov.tw), 無黨團結聯盟, (npl), 台灣吾黨, uid, 687, ad, 5, name, 瓦歷斯.貝林, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00010&stage=5
key, party, (ly.gov.tw), 無黨團結聯盟, (npl), 民主進步黨, uid, 606, ad, 5, name, 朱星羽, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00011&stage=5
key, party, (ly.gov.tw), 無黨團結聯盟, (npl), 民主進步黨, uid, 887, ad, 5, name, 何金松, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00016&stage=5
key, party, (ly.gov.tw), 無黨團結聯盟, (npl), 中國國民黨, uid, 615, ad, 5, name, 呂新民, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00023&stage=5
key, party, (ly.gov.tw), 無黨團結聯盟, (npl), 無黨籍, uid, 713, ad, 5, name, 林炳坤, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00056&stage=5
key, party, (ly.gov.tw), 無黨團結聯盟, (npl), 親民黨, uid, 805, ad, 5, name, 邱創良, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00070&stage=5
key, party, (ly.gov.tw), 民主進步黨, (npl), 無黨籍, uid, 924, ad, 5, name, 高孟定, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00096&stage=5
key, party, (ly.gov.tw), 無黨團結聯盟, (npl), 無黨籍, uid, 926, ad, 5, name, 高金素梅, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00098&stage=5
key, party, (ly.gov.tw), 民主進步黨, (npl), 無黨籍, uid, 929, ad, 5, name, 張花冠, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00103&stage=5
key, party, (ly.gov.tw), 無黨團結聯盟, (npl), 無黨籍, uid, 835, ad, 5, name, 陳進丁, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00138&stage=5
key, party, (ly.gov.tw), 無黨籍, (npl), 中國國民黨, uid, 850, ad, 5, name, 楊文欣, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00164&stage=5
key, party, (ly.gov.tw), 民主進步黨, (npl), 無黨籍, uid, 674, ad, 5, name, 趙永清, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00173&stage=5
key, party, (ly.gov.tw), 無黨團結聯盟, (npl), 無黨籍, uid, 861, ad, 5, name, 蔡豪, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00189&stage=5
key, party, (ly.gov.tw), 無黨團結聯盟, (npl), 民主進步黨, uid, 306, ad, 5, name, 鄭余鎮, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00191&stage=5
key, party, (ly.gov.tw), 無黨團結聯盟, (npl), 無黨籍, uid, 979, ad, 5, name, 顏清標, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00213&stage=5
key, party, (ly.gov.tw), 無黨籍, (npl), 台灣團結聯盟, uid, 986, ad, 5, name, 蘇盈貴, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00223&stage=5
key, party, (ly.gov.tw), 無黨籍, (npl), 台灣團結聯盟, uid, 1311, ad, 6, name, 尹伶瑛, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00012&stage=6
key, party, (ly.gov.tw), 民主進步黨, (npl), 台灣團結聯盟, uid, 888, ad, 6, name, 何敏豪, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00022&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 新黨, uid, 889, ad, 6, name, 吳成典, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00026&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 892, ad, 6, name, 呂學樟, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00035&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 893, ad, 6, name, 李永萍, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00037&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 782, ad, 6, name, 李慶安, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00047&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 607, ad, 6, name, 李慶華, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00048&stage=6
key, party, (ly.gov.tw), 民主進步黨, (npl), 中國國民黨, uid, 610, ad, 6, name, 李顯榮, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00051&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 803, ad, 6, name, 周錫瑋, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00057&stage=6
key, party, (ly.gov.tw), 無黨籍, (npl), 民主進步黨, uid, 1334, ad, 6, name, 林為洲, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00065&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 716, ad, 6, name, 林郁方, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00067&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 908, ad, 6, name, 林德福, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00076&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 912, ad, 6, name, 邱毅, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00080&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 919, ad, 6, name, 孫大千, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00095&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 921, ad, 6, name, 徐耀昌, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00100&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 1345, ad, 6, name, 高思博, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00105&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 無黨籍, uid, 660, ad, 6, name, 曹爾忠, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00117&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 651, ad, 6, name, 陳志彬, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00129&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 646, ad, 6, name, 陳朝容, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00138&stage=6
key, party, (ly.gov.tw), 民主進步黨, (npl), 台灣團結聯盟, uid, 954, ad, 6, name, 黃宗源, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00156&stage=6
key, party, (ly.gov.tw), 無黨籍, (npl), 台灣團結聯盟, uid, 1370, ad, 6, name, 黃適卓, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00167&stage=6
key, party, (ly.gov.tw), 民主進步黨, (npl), 台灣團結聯盟, uid, 961, ad, 6, name, 廖本煙, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00175&stage=6
key, party, (ly.gov.tw), 中國國民黨, (npl), 親民黨, uid, 1387, ad, 6, name, 謝國樑, links, http://www.ly.gov.tw/03_leg/0301_main/legIntro.action?lgno=00214&stage=6
